HydroYear	DataType	IsEqualTo	IsSmallerThan	IsLargerThan	IsBetween(low)	IsBetween(high)	QD	SystErr
1962	3	-9999	-9999	-9999	231	282	-9999	1
1963	3	-9999	-9999	-9999	231	282	-9999	1
1964	3	-9999	-9999	-9999	206	256	-9999	1
1965	3	-9999	-9999	-9999	149	194	-9999	1
1966	3	-9999	-9999	-9999	206	256	-9999	1
1967	3	-9999	-9999	-9999	98	138	-9999	1
1968	3	-9999	-9999	-9999	218	269	-9999	1
1969	3	-9999	-9999	-9999	118	160	-9999	1
1970	3	-9999	-9999	-9999	206	256	-9999	1
1971	3	-9999	-9999	-9999	295	351	-9999	1
1972	3	-9999	-9999	-9999	302	358	-9999	1
1973	3	-9999	-9999	-9999	212	262	-9999	1
1974	3	-9999	-9999	-9999	237	289	-9999	1
1975	3	-9999	-9999	-9999	295	351	-9999	1
1976	3	-9999	-9999	-9999	256	309	-9999	1
1977	3	-9999	-9999	-9999	243	295	-9999	1
1978	3	-9999	-9999	-9999	243	295	-9999	1
1979	3	-9999	-9999	-9999	269	323	-9999	1
1980	3	-9999	-9999	-9999	149	194	-9999	1
1981	3	-9999	-9999	-9999	323	381	-9999	1
1982	3	-9999	-9999	-9999	269	323	-9999	1
1983	3	-9999	-9999	-9999	243	295	-9999	1
1984	3	-9999	-9999	-9999	118	160	-9999	1
1985	3	-9999	-9999	-9999	194	243	-9999	2
1986	3	-9999	-9999	-9999	295	351	-9999	2
1987	3	-9999	-9999	-9999	206	256	-9999	2
1988	3	-9999	-9999	-9999	218	269	-9999	2
1989	3	-9999	-9999	-9999	128	171	-9999	2
1990	3	-9999	-9999	-9999	118	160	-9999	2
1991	3	-9999	-9999	-9999	183	231	-9999	2
1992	3	-9999	-9999	-9999	700	1000	-9999	0
1993	3	-9999	-9999	-9999	231	282	-9999	2
1994	3	-9999	-9999	-9999	400	700	-9999	0
1995	3	-9999	-9999	-9999	231	282	-9999	2
1996	0	283	-9999	-9999	-9999	-9999	-9999	2
1997	0	218	-9999	-9999	-9999	-9999	-9999	2
1998	0	123	-9999	-9999	-9999	-9999	-9999	2
1999	0	234	-9999	-9999	-9999	-9999	-9999	2
2000	0	243	-9999	-9999	-9999	-9999	-9999	2
2001	0	216	-9999	-9999	-9999	-9999	-9999	2
2002	0	275	-9999	-9999	-9999	-9999	-9999	2
2003	0	323	-9999	-9999	-9999	-9999	-9999	2
2004	0	119	-9999	-9999	-9999	-9999	-9999	2
2005	0	96	-9999	-9999	-9999	-9999	-9999	2
2006	0	81	-9999	-9999	-9999	-9999	-9999	2
2007	0	52	-9999	-9999	-9999	-9999	-9999	2
2008	0	118	-9999	-9999	-9999	-9999	-9999	2
2009	0	177	-9999	-9999	-9999	-9999	-9999	2
2010	0	116	-9999	-9999	-9999	-9999	-9999	2
2011	0	107	-9999	-9999	-9999	-9999	-9999	2
2012	0	132	-9999	-9999	-9999	-9999	-9999	2
2013	0	185	-9999	-9999	-9999	-9999	-9999	2
2014	0	236	-9999	-9999	-9999	-9999	-9999	2
2015	0	89	-9999	-9999	-9999	-9999	-9999	2
2016	0	202	-9999	-9999	-9999	-9999	-9999	3
2017	0	82	-9999	-9999	-9999	-9999	-9999	3
2018	0	109	-9999	-9999	-9999	-9999	-9999	3
2019	0	221	-9999	-9999	-9999	-9999	-9999	3
2020	0	76	-9999	-9999	-9999	-9999	-9999	3
2021	0	74	-9999	-9999	-9999	-9999	-9999	3
